trialNum,resgister,reading (mm),strength,expected distance (mm)
1,0.0,57.0,-6791.0,290
1,1.0,117.0,-6902.0,290
1,2.0,202.0,-13271.0,290
1,3.0,267.0,-9795.0,290
1,0.0,57.0,-6565.0,290
1,1.0,117.0,-6760.0,290
1,2.0,202.0,-12764.0,290
1,3.0,265.0,-9762.0,290
1,0.0,57.0,-6630.0,290
1,1.0,117.0,-6932.0,290
1,2.0,204.0,-13286.0,290
1,3.0,268.0,-9712.0,290
1,0.0,57.0,-6215.0,290
1,1.0,117.0,-6483.0,290
1,2.0,201.0,-13661.0,290
1,3.0,267.0,-8998.0,290
1,0.0,57.0,-6731.0,290
1,1.0,117.0,-6738.0,290
1,2.0,203.0,-12798.0,290
1,3.0,268.0,-9927.0,290
1,0.0,56.0,-6144.0,290
1,1.0,117.0,-6458.0,290
1,2.0,203.0,-13248.0,290
1,3.0,265.0,-10296.0,290
1,0.0,57.0,-6763.0,290
1,1.0,117.0,-6843.0,290
1,2.0,203.0,-13511.0,290
1,3.0,266.0,-9987.0,290
1,0.0,57.0,-6505.0,290
1,1.0,117.0,-6826.0,290
1,2.0,203.0,-13791.0,290
1,3.0,268.0,-10095.0,290
1,0.0,56.0,-6186.0,290
1,1.0,117.0,-6524.0,290
1,2.0,203.0,-14802.0,290
1,3.0,268.0,-9562.0,290
1,0.0,57.0,-6553.0,290
1,1.0,117.0,-6722.0,290
1,2.0,202.0,-13233.0,290
1,3.0,266.0,-9449.0,290
1,0.0,57.0,-6348.0,290
1,1.0,117.0,-6656.0,290
1,2.0,203.0,-13280.0,290
1,3.0,267.0,-9573.0,290
1,0.0,56.0,-5783.0,290
1,1.0,117.0,-6465.0,290
1,2.0,203.0,-12723.0,290
1,3.0,265.0,-9210.0,290
1,0.0,56.0,-6036.0,290
1,1.0,117.0,-6794.0,290
1,2.0,203.0,-14646.0,290
1,3.0,268.0,-9154.0,290
1,0.0,56.0,-5840.0,290
1,1.0,117.0,-6402.0,290
1,2.0,203.0,-13936.0,290
1,3.0,266.0,-8990.0,290
1,0.0,57.0,-6365.0,290
1,1.0,117.0,-6458.0,290
1,2.0,202.0,-13123.0,290
1,3.0,263.0,-9268.0,290
1,0.0,57.0,-6377.0,290
1,1.0,117.0,-6544.0,290
1,2.0,203.0,-12953.0,290
1,3.0,267.0,-9286.0,290
1,0.0,57.0,-6237.0,290
1,1.0,117.0,-6819.0,290
1,2.0,203.0,-14657.0,290
1,0.0,57.0,-6443.0,290
1,1.0,117.0,-6625.0,290
1,2.0,202.0,-12844.0,290
1,0.0,57.0,-6300.0,290
1,1.0,117.0,-6682.0,290
1,2.0,203.0,-14241.0,290
1,3.0,267.0,-10315.0,290
1,0.0,57.0,-6048.0,290
1,1.0,118.0,-6388.0,290
1,2.0,204.0,-13018.0,290
1,0.0,56.0,-6099.0,290
1,1.0,117.0,-6378.0,290
1,2.0,201.0,-12801.0,290
1,0.0,57.0,-6382.0,290
1,1.0,117.0,-6529.0,290
1,2.0,203.0,-14057.0,290
1,3.0,264.0,-9527.0,290
1,0.0,57.0,-6173.0,290
1,1.0,117.0,-6530.0,290
1,2.0,203.0,-13105.0,290
1,3.0,266.0,-10039.0,290
1,0.0,57.0,-6373.0,290
1,1.0,117.0,-6608.0,290
1,2.0,201.0,-14389.0,290
1,3.0,267.0,-9688.0,290
1,0.0,57.0,-6731.0,290
1,1.0,117.0,-6975.0,290
1,2.0,203.0,-13128.0,290
1,3.0,269.0,-10760.0,290
1,0.0,57.0,-6667.0,290
1,1.0,117.0,-6741.0,290
1,2.0,202.0,-13010.0,290
1,3.0,268.0,-10062.0,290
2,0.0,51.0,-3653.0,280
2,1.0,116.0,-3902.0,280
2,2.0,178.0,-11501.0,280
2,0.0,51.0,-3637.0,280
2,1.0,116.0,-3866.0,280
2,2.0,181.0,-11368.0,280
2,0.0,51.0,-3777.0,280
2,1.0,116.0,-3892.0,280
2,2.0,180.0,-10760.0,280
2,0.0,52.0,-3613.0,280
2,1.0,116.0,-3851.0,280
2,2.0,181.0,-10811.0,280
