trialNum,resgister,reading,strength,expected
0,0.0,117.0,5371.0,130
0,1.0,277.0,-3480.0,130
0,0.0,117.0,5409.0,130
0,1.0,276.0,-3222.0,130
0,0.0,117.0,5392.0,130
0,1.0,275.0,-2871.0,130
0,0.0,117.0,5430.0,130
0,1.0,277.0,-3397.0,130
0,0.0,117.0,5333.0,130
0,1.0,277.0,-3270.0,130
0,0.0,117.0,5373.0,130
0,1.0,277.0,-3271.0,130
0,0.0,117.0,5416.0,130
0,1.0,257.0,-8326.0,130
0,0.0,117.0,5376.0,130
0,1.0,278.0,-3120.0,130
0,0.0,117.0,5357.0,130
0,1.0,278.0,-3043.0,130
0,0.0,117.0,5397.0,130
0,1.0,278.0,-3595.0,130
0,0.0,117.0,5387.0,130
0,1.0,275.0,-3503.0,130
0,0.0,117.0,5361.0,130
0,1.0,277.0,-3626.0,130
0,0.0,117.0,5453.0,130
0,1.0,277.0,-3182.0,130
0,0.0,117.0,5411.0,130
0,1.0,277.0,-3447.0,130
0,0.0,117.0,5485.0,130
0,1.0,276.0,-2819.0,130
0,0.0,117.0,5443.0,130
0,1.0,276.0,-3443.0,130
0,0.0,117.0,5318.0,130
0,1.0,278.0,-3430.0,130
0,0.0,117.0,5333.0,130
0,1.0,275.0,-3167.0,130
0,0.0,117.0,5325.0,130
0,1.0,277.0,-3008.0,130
0,0.0,117.0,5439.0,130
0,1.0,276.0,-3519.0,130
0,0.0,117.0,5327.0,130
0,1.0,276.0,-3742.0,130
0,0.0,117.0,5391.0,130
0,1.0,276.0,-3850.0,130
0,0.0,117.0,5352.0,130
0,1.0,276.0,-2779.0,130
0,0.0,117.0,5390.0,130
0,1.0,275.0,-3187.0,130
0,0.0,117.0,5427.0,130
0,1.0,276.0,-3017.0,130
1,0.0,116.0,4339.0,128
1,1.0,270.0,-3639.0,128
1,0.0,116.0,4267.0,128
1,1.0,272.0,-3914.0,128
1,0.0,116.0,4320.0,128
1,1.0,270.0,-4430.0,128
1,0.0,116.0,4293.0,128
1,1.0,270.0,-4345.0,128
1,0.0,115.0,4377.0,128
1,1.0,270.0,-4759.0,128
1,0.0,116.0,4302.0,128
1,1.0,271.0,-4443.0,128
1,0.0,116.0,4315.0,128
1,1.0,270.0,-3841.0,128
1,0.0,116.0,4335.0,128
1,1.0,272.0,-4289.0,128
1,0.0,116.0,4299.0,128
1,1.0,272.0,-3960.0,128
1,0.0,116.0,4134.0,128
1,1.0,270.0,-3669.0,128
1,0.0,116.0,4190.0,128
1,1.0,269.0,-3656.0,128
1,0.0,116.0,4278.0,128
1,1.0,271.0,-4267.0,128
1,0.0,116.0,4272.0,128
1,1.0,271.0,-3709.0,128
1,0.0,116.0,4405.0,128
1,1.0,269.0,-3840.0,128
1,0.0,116.0,4127.0,128
1,1.0,270.0,-4364.0,128
1,0.0,116.0,4215.0,128
1,1.0,271.0,-3638.0,128
1,0.0,116.0,4244.0,128
