trialNum,resgister,reading,strength,expected
0,0,301,-4499,300
0,0,297,-4343,300
0,0,298,-4657,300
0,0,298,-4811,300
0,0,300,-3753,300
0,0,303,-4830,300
0,0,299,-4677,300
0,0,299,-4754,300
0,0,298,-5023,300
0,0,299,-5298,300
0,0,300,-4499,300
0,0,299,-4057,300
0,0,299,-4764,300
0,0,302,-3948,300
0,0,300,-4344,300
0,0,300,-4084,300
0,0,298,-5017,300
0,0,300,-4579,300
0,0,299,-4452,300
0,0,299,-4565,300
0,0,299,-4082,300
0,0,301,-5027,300
0,0,299,-4538,300
0,0,299,-4407,300
0,0,299,-4486,300
0,0,300,-4966,300
0,0,299,-4949,300
0,0,298,-4080,300
0,0,298,-4996,300
0,0,300,-5009,300
0,0,299,-4353,300
0,0,299,-4527,300
0,0,297,-4006,300
0,0,299,-3857,300
0,0,298,-4701,300
0,0,299,-4288,300
0,0,298,-4101,300
0,0,299,-4519,300
0,0,300,-4198,300
0,0,300,-4167,300
0,0,299,-4623,300
0,0,299,-4338,300
0,0,298,-4332,300
0,0,299,-4083,300
0,0,300,-4232,300
0,0,298,-4147,300
0,0,298,-4502,300
0,0,300,-4305,300
0,0,297,-4401,300
0,0,299,-4215,300
1,0,298,-3783,298
1,0,299,-3593,298
1,0,299,-3251,298
1,0,297,-3212,298
1,0,298,-3660,298
1,0,299,-3554,298
1,0,299,-3672,298
1,0,298,-3728,298
1,0,298,-2826,298
1,0,299,-3421,298
1,0,299,-3563,298
1,0,299,-3171,298
1,0,300,-3644,298
1,0,300,-3334,298
1,0,300,-3938,298
1,0,298,-3640,298
1,0,299,-3421,298
1,0,298,-3528,298
1,0,299,-3519,298
1,0,300,-4156,298
1,0,299,-3069,298
1,0,298,-3466,298
1,0,298,-3403,298
1,0,298,-3242,298
1,0,299,-3547,298
1,0,299,-3238,298
1,0,298,-3423,298
1,0,298,-3916,298
1,0,299,-3452,298
1,0,299,-3548,298
1,0,300,-3878,298
1,0,297,-3627,298
1,0,298,-3438,298
1,0,298,-3706,298
1,0,300,-3399,298
1,0,298,-3523,298
1,0,297,-3443,298
1,0,297,-3377,298
1,0,300,-3395,298
1,0,298,-3841,298
1,0,299,-3906,298
1,0,298,-3477,298
1,0,299,-4516,298
1,0,298,-3645,298
1,0,298,-3573,298
1,0,299,-3637,298
1,0,297,-3884,298
1,0,298,-3549,298
1,0,297,-2857,298
1,0,300,-3226,298
2,0,299,-3232,296
2,0,298,-3161,296
2,0,299,-3148,296
2,0,297,-3062,296
2,0,296,-3468,296
2,0,298,-3189,296
2,0,298,-3764,296
2,0,299,-3208,296
2,0,299,-3975,296
2,0,296,-3388,296
2,0,298,-3204,296
2,0,298,-3341,296
2,0,298,-3615,296
2,0,298,-3583,296
2,0,298,-3437,296
2,0,297,-3178,296
2,0,295,-3467,296
2,0,297,-3543,296
2,0,298,-3075,296
2,0,298,-3270,296
2,0,299,-3685,296
2,0,297,-3457,296
2,0,299,-3718,296
2,0,298,-3556,296
2,0,297,-3231,296
2,0,298,-3436,296
2,0,299,-3270,296
2,0,297,-3466,296
2,0,298,-3740,296
2,0,298,-3440,296
2,0,298,-2853,296
2,0,299,-3407,296
2,0,297,-3401,296
2,0,297,-3222,296
2,0,299,-3073,296
2,0,298,-3036,296
2,0,299,-2927,296
2,0,299,-3330,296
2,0,298,-3213,296
2,0,299,-3302,296
2,0,299,-3693,296
2,0,298,-3162,296
2,0,298,-3479,296
2,0,299,-3531,296
2,0,298,-3237,296
2,0,299,-3109,296
2,0,298,-3097,296
2,0,298,-3267,296
2,0,299,-3154,296
2,0,298,-3327,296
3,0,294,-3111,294
3,0,297,-2375,294
3,0,297,-2734,294
3,0,297,-2775,294
3,0,297,-2627,294
3,0,297,-2703,294
3,0,297,-3297,294
3,0,296,-3385,294
3,0,297,-3063,294
3,0,299,-3259,294
3,0,296,-3883,294
3,0,295,-3568,294
3,0,296,-3255,294
3,0,296,-3027,294
3,0,296,-3004,294
3,0,296,-2693,294
3,0,296,-3228,294
3,0,296,-2761,294
3,0,297,-3182,294
3,0,296,-3031,294
3,0,296,-3015,294
3,0,295,-2987,294
3,0,298,-2546,294
3,0,297,-2931,294
3,0,294,-3452,294
3,0,297,-3271,294
3,0,297,-2657,294
3,0,298,-2577,294
3,0,297,-2914,294
3,0,297,-2886,294
3,0,297,-2879,294
3,0,298,-3190,294
3,0,294,-3235,294
3,0,297,-3204,294
3,0,296,-2686,294
3,0,297,-3421,294
3,0,296,-3381,294
3,0,297,-3352,294
3,0,296,-2566,294
3,0,296,-2636,294
3,0,295,-3003,294
3,0,296,-2894,294
3,0,296,-3385,294
3,0,296,-3204,294
3,0,295,-3181,294
3,0,297,-2828,294
3,0,295,-3159,294
3,0,297,-3122,294
3,0,295,-2897,294
3,0,296,-3316,294
4,0,293,-3342,292
4,0,291,-2339,292
4,0,295,-2863,292
4,0,295,-2431,292
4,0,293,-2525,292
4,0,294,-2838,292
4,0,293,-2513,292
4,0,294,-2768,292
4,0,293,-2882,292
4,0,294,-3035,292
4,0,294,-2879,292
4,0,295,-2851,292
4,0,293,-2749,292
4,0,294,-3011,292
4,0,294,-3179,292
4,0,295,-2866,292
4,0,294,-2592,292
4,0,294,-2796,292
4,0,293,-2739,292
4,0,294,-2906,292
4,0,294,-3017,292
4,0,294,-2188,292
4,0,294,-2779,292
4,0,294,-2987,292
4,0,294,-2448,292
4,0,294,-2227,292
4,0,294,-2558,292
4,0,293,-2682,292
4,0,294,-2518,292
4,0,293,-2836,292
4,0,293,-2862,292
4,0,294,-3137,292
4,0,293,-3208,292
4,0,294,-2731,292
4,0,295,-2834,292
4,0,293,-2635,292
4,0,295,-2733,292
4,0,294,-2595,292
4,0,292,-2756,292
4,0,295,-2650,292
4,0,293,-2879,292
4,0,293,-2556,292
4,0,293,-2976,292
4,0,292,-3351,292
4,0,292,-2879,292
4,0,294,-2737,292
4,0,291,-2709,292
4,0,294,-3127,292
4,0,295,-2528,292
4,0,294,-2876,292
5,0,292,-1685,290
5,0,292,-2189,290
5,0,292,-1684,290
5,0,290,-2498,290
5,0,290,-2306,290
5,0,291,-1895,290
5,0,294,-2521,290
5,0,292,-2199,290
5,0,292,-2527,290
5,0,290,-2070,290
5,0,292,-2732,290
5,0,290,-1596,290
5,0,292,-1960,290
5,0,290,-2427,290
5,0,292,-1655,290
5,0,292,-2909,290
5,0,291,-1812,290
5,0,291,-2072,290
5,0,292,-2543,290
5,0,291,-2061,290
5,0,292,-2498,290
5,0,291,-1952,290
5,0,290,-1489,290
5,0,292,-2415,290
5,0,293,-2417,290
5,0,292,-2316,290
5,0,289,-1904,290
5,0,291,-1836,290
5,0,291,-2013,290
5,0,293,-2483,290
5,0,292,-2366,290
5,0,290,-2096,290
5,0,292,-2827,290
5,0,292,-1962,290
5,0,293,-2110,290
5,0,291,-2448,290
5,0,292,-2823,290
5,0,291,-2467,290
5,0,291,-2209,290
5,0,291,-2208,290
5,0,292,-2105,290
5,0,294,-2006,290
5,0,291,-2379,290
5,0,290,-2045,290
5,0,291,-2423,290
5,0,292,-2634,290
5,0,291,-1980,290
5,0,291,-2644,290
5,0,292,-2645,290
5,0,292,-2199,290
6,0,290,-3854,288
6,0,290,-3132,288
6,0,290,-2812,288
6,0,288,-3496,288
6,0,288,-3285,288
6,0,292,-3039,288
6,0,290,-2738,288
6,0,289,-2771,288
