trialNum,resgister,reading,strength,expected
0,1,203,-6557,50
0,0,52,6022,50
0,1,202,-6707,50
0,0,52,5977,50
0,1,201,-6439,50
0,0,52,6047,50
0,1,202,-6536,50
0,0,52,6052,50
0,1,202,-6625,50
0,0,52,6012,50
0,1,202,-6987,50
0,0,52,6009,50
0,1,202,-6791,50
0,0,52,6060,50
0,1,201,-6420,50
0,0,52,6033,50
0,1,202,-6736,50
0,0,52,6020,50
0,1,202,-6895,50
0,0,52,6014,50
0,1,202,-6928,50
0,0,52,5978,50
0,1,202,-6620,50
0,0,52,5986,50
0,1,201,-7028,50
0,0,52,6014,50
0,1,202,-6965,50
0,0,52,6038,50
0,1,202,-6644,50
0,0,52,6049,50
0,1,203,-6471,50
0,0,52,6020,50
0,1,202,-6660,50
0,0,52,6061,50
0,1,202,-6692,50
0,0,52,6010,50
0,1,202,-6393,50
0,0,52,6013,50
0,1,203,-6835,50
0,0,52,6030,50
0,1,202,-6791,50
0,0,52,6064,50
0,1,201,-6566,50
0,0,52,6038,50
0,1,202,-6951,50
0,0,52,6032,50
0,1,202,-6849,50
0,0,52,6041,50
0,1,196,-5256,50
1,0,51,3409,48
1,1,189,-9783,48
1,0,51,3534,48
1,1,188,-9725,48
1,0,51,3560,48
1,1,188,-9728,48
1,0,51,3440,48
1,1,188,-9936,48
1,0,51,3619,48
1,1,188,-9911,48
1,0,51,3577,48
1,1,188,-9689,48
1,0,51,3669,48
1,1,188,-9774,48
1,0,51,3472,48
1,1,189,-9807,48
1,0,51,3456,48
1,1,189,-9621,48
1,0,51,3529,48
1,1,189,-9665,48
1,0,51,3540,48
1,1,189,-9812,48
1,0,51,3691,48
1,1,188,-9688,48
1,0,51,3617,48
1,1,189,-9938,48
1,0,51,3624,48
1,1,188,-9784,48
1,0,51,3497,48
1,1,189,-10100,48
1,0,51,3494,48
1,1,188,-9901,48
1,0,51,3604,48
1,1,187,-9785,48
1,0,51,3595,48
1,1,192,-10890,48
1,0,51,3578,48
1,1,197,-10766,48
1,0,51,3341,48
1,1,189,-9721,48
1,0,51,3566,48
1,1,189,-9804,48
1,0,51,3639,48
1,1,187,-9900,48
1,0,51,3563,48
1,1,188,-9693,48
1,0,51,3569,48
1,1,195,-10974,48
1,0,51,3710,48
1,1,197,-10049,48
2,0,50,-7305,46
2,1,122,-9744,46
2,2,164,-5464,46
2,3,211,-7825,46
2,0,50,-6413,46
2,1,119,-9893,46
2,2,163,-5623,46
2,3,211,-8484,46
2,0,50,-6613,46
2,1,122,-9860,46
2,2,164,-5625,46
2,3,211,-8268,46
2,0,50,-6271,46
2,1,120,-9767,46
2,2,163,-5552,46
2,3,212,-8610,46
2,0,49,-6781,46
2,1,121,-9985,46
2,2,163,-5673,46
2,3,209,-8548,46
2,0,49,-6213,46
2,1,118,-9983,46
2,2,164,-5715,46
2,3,213,-8333,46
2,0,51,-5393,46
2,1,118,-9742,46
2,2,163,-5569,46
2,3,210,-8012,46
2,0,49,-6935,46
2,1,121,-9954,46
2,2,164,-5609,46
2,3,209,-8554,46
2,0,51,-5874,46
2,1,121,-9524,46
2,2,164,-5464,46
2,3,210,-8387,46
2,0,51,-6099,46
2,1,122,-9472,46
2,2,164,-5685,46
2,3,210,-7904,46
2,0,51,-5939,46
2,1,122,-9424,46
2,2,164,-5709,46
2,3,211,-8455,46
2,0,50,-5450,46
2,1,121,-9409,46
2,2,164,-5700,46
2,3,211,-8478,46
2,0,51,-5534,46
2,1,122,-9393,46
3,0,49,-1356,44
3,1,206,-7420,44
3,0,50,-1643,44
3,1,103,-5766,44
3,2,205,-6966,44
3,0,50,-1512,44
3,1,206,-7314,44
3,2,260,-13310,44
3,0,49,-1818,44
3,1,205,-6963,44
3,0,49,-2531,44
3,1,103,-5917,44
3,2,204,-7493,44
3,0,50,-1910,44
3,1,205,-7270,44
3,2,261,-12478,44
3,0,50,-2080,44
3,1,103,-5893,44
3,2,206,-7208,44
3,3,262,-11902,44
3,0,49,-1537,44
3,1,103,-5697,44
3,2,204,-7963,44
3,0,50,-1896,44
3,1,205,-7632,44
3,0,50,-1417,44
3,1,102,-5711,44
3,2,205,-7513,44
3,0,49,-2043,44
3,1,103,-5900,44
3,2,205,-7488,44
3,3,262,-11910,44
3,0,50,-1979,44
3,1,102,-5811,44
3,2,205,-7423,44
3,0,49,-2065,44
3,1,103,-5892,44
3,2,206,-7716,44
3,0,50,-1819,44
3,1,204,-7368,44
3,0,50,-2039,44
3,1,102,-6261,44
3,2,205,-7377,44
3,0,50,-1561,44
3,1,205,-7765,44
3,2,261,-11562,44
3,0,50,-3110,44
3,1,103,-6624,44
3,2,205,-7748,44
3,0,49,-2262,44
4,0,48,5587,42
4,1,152,-4289,42
4,2,245,-7135,42
4,0,48,5727,42
4,1,151,-4521,42
4,2,245,-6831,42
4,0,48,5441,42
4,1,152,-4086,42
4,2,245,-8077,42
4,0,48,5650,42
4,1,151,-4354,42
4,2,246,-6743,42
4,0,48,5614,42
4,1,151,-4298,42
4,2,244,-8600,42
4,0,48,5560,42
4,1,152,-4274,42
4,0,48,5608,42
4,1,152,-4231,42
4,2,245,-7234,42
4,0,48,5478,42
4,1,152,-4180,42
4,2,245,-8273,42
4,0,48,5632,42
4,1,152,-4090,42
4,2,246,-6858,42
4,0,48,5454,42
4,1,152,-3949,42
