trialNum,resgister,reading,strength,expected
0,0,299,-4020,300
0,0,300,-4383,300
0,0,300,-4105,300
0,0,300,-4504,300
0,0,300,-4081,300
0,0,299,-3292,300
0,0,300,-4229,300
0,0,301,-4330,300
0,0,300,-4027,300
0,0,301,-4156,300
0,0,303,-3622,300
0,0,301,-4203,300
0,0,300,-3705,300
0,0,301,-4180,300
0,0,302,-3516,300
0,0,300,-3675,300
0,0,305,-3856,300
0,0,302,-4429,300
0,0,301,-4071,300
0,0,302,-4332,300
0,0,303,-4501,300
0,0,302,-3956,300
0,0,300,-4074,300
0,0,301,-3846,300
0,0,300,-4439,300
0,0,302,-4192,300
0,0,300,-3981,300
0,0,301,-3925,300
0,0,302,-4336,300
0,0,301,-4548,300
0,0,299,-3533,300
0,0,300,-3633,300
0,0,301,-4454,300
0,0,300,-4060,300
0,0,303,-4259,300
0,0,302,-4194,300
0,0,301,-4012,300
0,0,300,-4582,300
0,0,303,-3515,300
0,0,299,-4467,300
0,0,301,-3815,300
0,0,299,-4350,300
0,0,301,-4215,300
0,0,300,-3424,300
0,0,300,-3492,300
0,0,302,-4184,300
0,0,301,-4366,300
0,0,300,-3756,300
0,0,300,-3992,300
0,0,301,-4269,300
1,0,291,-2974,298
1,0,293,-2428,298
1,0,292,-2542,298
1,0,291,-2087,298
1,0,294,-2551,298
1,0,292,-2622,298
1,0,294,-2649,298
1,0,293,-1999,298
1,0,291,-2210,298
1,0,294,-2152,298
1,0,291,-2549,298
1,0,292,-2385,298
1,0,292,-2751,298
1,0,292,-2449,298
1,0,292,-2932,298
1,0,293,-2873,298
1,0,294,-2671,298
1,0,294,-2676,298
1,0,293,-2147,298
1,0,294,-2457,298
1,0,293,-2498,298
1,0,293,-2645,298
1,0,292,-2663,298
1,0,293,-2913,298
1,0,292,-2215,298
1,0,292,-2404,298
1,0,292,-3080,298
1,0,292,-2589,298
1,0,292,-2239,298
1,0,292,-2969,298
1,0,292,-2372,298
1,0,292,-2242,298
1,0,293,-1955,298
1,0,292,-2847,298
1,0,294,-2238,298
1,0,294,-2223,298
1,0,292,-2142,298
1,0,295,-2143,298
1,0,292,-2373,298
1,0,291,-2774,298
1,0,292,-2423,298
1,0,294,-2583,298
1,0,293,-2892,298
1,0,293,-2257,298
1,0,292,-2532,298
1,0,293,-3169,298
1,0,294,-2389,298
1,0,292,-2975,298
1,0,294,-2672,298
1,0,291,-2310,298
2,0,278,-2640,296
2,0,277,-3286,296
2,0,279,-2512,296
2,0,279,-2693,296
2,0,279,-3083,296
2,0,279,-2845,296
2,0,278,-2611,296
2,0,279,-2667,296
2,0,278,-2808,296
2,0,279,-2488,296
2,0,282,-3176,296
2,0,279,-2761,296
2,0,280,-3021,296
2,0,279,-2578,296
2,0,279,-3002,296
2,0,280,-2924,296
2,0,279,-3183,296
2,0,279,-2852,296
2,0,279,-2896,296
2,0,279,-2673,296
2,0,279,-2906,296
2,0,279,-2843,296
2,0,279,-2654,296
2,0,279,-2766,296
2,0,278,-2928,296
2,0,278,-3415,296
2,0,278,-2633,296
2,0,279,-2930,296
2,0,279,-2843,296
2,0,279,-3203,296
2,0,280,-3043,296
2,0,278,-2174,296
2,0,279,-2544,296
2,0,279,-2057,296
2,0,279,-2789,296
2,0,278,-2513,296
2,0,279,-3338,296
2,0,280,-2771,296
2,0,280,-2874,296
2,0,280,-2515,296
2,0,279,-3432,296
2,0,278,-2788,296
2,0,279,-3109,296
2,0,278,-2743,296
2,0,280,-2765,296
2,0,278,-2755,296
2,0,280,-2606,296
2,0,279,-3006,296
2,0,278,-2782,296
2,0,279,-2974,296
3,0,270,-6454,270
3,0,267,-6588,270
3,0,268,-5941,270
3,0,269,-5956,270
3,0,269,-6236,270
3,0,270,-6436,270
3,0,269,-5852,270
3,0,269,-5751,270
3,0,269,-6104,270
3,0,269,-6339,270
3,0,269,-6207,270
3,0,271,-6357,270
3,0,269,-6142,270
3,0,268,-6390,270
3,0,270,-6068,270
3,0,272,-6396,270
3,0,269,-6733,270
3,0,270,-5954,270
3,0,268,-6696,270
3,0,272,-6604,270
3,0,269,-5857,270
3,0,269,-6279,270
3,0,271,-6796,270
3,0,270,-6186,270
3,0,269,-6707,270
3,0,269,-6502,270
3,0,269,-6294,270
3,0,269,-5799,270
3,0,269,-5845,270
3,0,268,-5855,270
3,0,269,-6828,270
3,0,272,-6918,270
3,0,269,-6084,270
3,0,271,-5971,270
3,0,268,-6165,270
3,0,271,-6093,270
3,0,270,-6522,270
3,0,271,-6950,270
3,0,269,-6720,270
3,0,268,-6195,270
3,0,269,-5757,270
3,0,268,-6243,270
3,0,270,-6383,270
3,0,269,-6397,270
3,0,271,-6203,270
3,0,269,-6274,270
3,0,269,-6343,270
3,0,271,-6507,270
3,0,270,-6020,270
3,0,272,-6576,270
4,0,260,-2595,260
4,0,261,-3357,260
4,0,259,-2519,260
4,0,260,-2370,260
4,0,261,-3273,260
4,0,259,-2247,260
4,0,261,-2751,260
4,0,261,-3184,260
4,0,259,-2510,260
4,0,261,-2299,260
4,0,261,-3115,260
4,0,262,-2472,260
4,0,260,-2398,260
4,0,260,-2850,260
4,0,261,-3099,260
4,0,260,-2391,260
4,0,260,-2765,260
4,0,261,-2731,260
4,0,260,-2865,260
4,0,260,-3170,260
4,0,259,-2949,260
4,0,260,-3528,260
4,0,260,-3391,260
4,0,260,-3386,260
4,0,262,-3044,260
4,0,260,-2892,260
4,0,259,-3009,260
4,0,259,-3447,260
4,0,258,-3187,260
4,0,259,-3686,260
4,0,259,-3121,260
4,0,260,-3014,260
4,0,260,-3171,260
4,0,262,-2781,260
4,0,260,-3855,260
4,0,260,-3104,260
4,0,260,-2966,260
4,0,261,-3135,260
4,0,259,-3160,260
4,0,260,-2814,260
4,0,261,-3429,260
4,0,259,-3118,260
4,0,261,-3178,260
4,0,262,-3215,260
4,0,260,-3672,260
4,0,260,-3464,260
4,0,259,-3081,260
4,0,260,-3342,260
4,0,260,-3520,260
4,0,259,-2967,260
5,0,250,-10663,250
5,0,249,-10928,250
5,0,251,-10466,250
5,0,249,-10885,250
5,0,248,-9904,250
5,0,251,-10531,250
5,0,249,-10228,250
5,0,248,-10744,250
5,0,252,-10455,250
5,0,252,-11328,250
5,0,252,-11147,250
5,0,248,-10472,250
5,0,248,-11112,250
5,0,250,-11120,250
5,0,253,-11913,250
5,0,252,-10617,250
5,0,247,-10616,250
5,0,250,-11331,250
5,0,250,-9466,250
5,0,251,-10370,250
5,0,250,-10329,250
5,0,248,-11794,250
5,0,251,-10698,250
5,0,250,-10771,250
5,0,250,-12086,250
5,0,251,-11368,250
5,0,252,-9751,250
5,0,249,-11299,250
5,0,250,-10384,250
5,0,251,-10817,250
5,0,250,-11019,250
5,0,249,-10587,250
5,0,250,-10902,250
5,0,252,-10851,250
5,0,248,-11587,250
5,0,249,-10714,250
5,0,251,-10929,250
5,0,249,-10344,250
5,0,250,-12177,250
5,0,250,-11190,250
5,0,249,-11010,250
5,0,248,-10806,250
5,0,250,-11545,250
5,0,250,-9854,250
5,0,249,-10218,250
5,0,253,-9889,250
5,0,250,-9362,250
5,0,249,-11706,250
5,0,253,-10525,250
5,0,250,-10417,250
6,0,245,-9067,240
6,0,242,-8425,240
6,0,241,-8408,240
6,0,244,-8865,240
6,0,245,-7804,240
6,0,238,-9434,240
6,0,240,-8545,240
6,0,245,-8863,240
6,0,244,-8367,240
6,0,242,-9072,240
6,0,241,-9061,240
6,0,243,-7440,240
6,0,245,-8197,240
6,0,240,-8511,240
6,0,241,-8433,240
6,0,242,-8602,240
6,0,243,-8341,240
6,0,244,-7667,240
6,0,240,-8328,240
6,0,244,-8236,240
6,0,242,-8752,240
6,0,243,-7442,240
6,0,244,-7490,240
6,0,243,-8282,240
6,0,241,-8984,240
6,0,243,-7694,240
6,0,240,-9396,240
6,0,240,-9535,240
6,0,240,-8789,240
6,0,241,-8434,240
6,0,242,-8518,240
6,0,240,-8032,240
6,0,245,-7507,240
6,0,246,-8248,240
6,0,247,-8287,240
6,0,245,-8033,240
6,0,241,-8565,240
6,0,245,-9196,240
6,0,241,-8626,240
6,0,243,-7820,240
6,0,242,-8071,240
6,0,240,-8111,240
6,0,244,-8900,240
6,0,244,-8676,240
6,0,240,-8671,240
6,0,240,-8822,240
6,0,241,-8462,240
6,0,245,-8536,240
6,0,243,-8388,240
6,0,241,-8222,240
7,0,232,-6427,230
7,0,232,-5557,230
7,0,237,-5547,230
7,0,232,-6584,230
7,0,230,-6757,230
7,0,233,-6008,230
7,0,234,-5787,230
7,0,235,-5653,230
7,0,230,-6967,230
7,0,233,-5847,230
7,0,231,-5527,230
7,0,231,-5614,230
7,0,234,-6175,230
7,0,230,-5718,230
7,0,233,-5947,230
7,0,233,-5338,230
7,0,232,-5559,230
7,0,231,-6290,230
7,0,230,-5963,230
7,0,231,-5957,230
7,0,232,-6143,230
7,0,232,-5426,230
7,0,230,-6083,230
7,0,234,-5903,230
7,0,234,-5715,230
7,0,234,-5884,230
7,0,234,-5691,230
7,0,234,-5565,230
7,0,231,-5313,230
7,0,232,-5752,230
7,0,233,-5573,230
7,0,231,-5635,230
7,0,229,-5949,230
7,0,232,-6210,230
7,0,233,-6132,230
7,0,233,-5331,230
7,0,234,-6079,230
7,0,232,-5468,230
7,0,233,-6152,230
7,0,235,-6005,230
7,0,231,-5758,230
7,0,234,-6433,230
7,0,231,-5653,230
7,0,232,-5551,230
7,0,233,-5804,230
7,0,233,-5636,230
7,0,233,-5779,230
7,0,231,-6614,230
7,0,231,-5630,230
7,0,231,-6203,230
8,0,219,-6185,220
8,0,220,-6654,220
8,0,220,-6053,220
8,0,221,-5874,220
8,0,219,-5935,220
8,0,220,-6596,220
8,0,221,-6583,220
8,0,220,-5953,220
8,0,220,-5809,220
8,0,220,-6911,220
8,0,221,-5902,220
8,0,219,-6650,220
8,0,220,-6744,220
8,0,223,-6221,220
8,0,220,-5765,220
8,0,219,-6081,220
8,0,220,-5831,220
8,0,220,-6436,220
8,0,220,-6364,220
8,0,221,-5972,220
8,0,220,-6596,220
8,0,219,-6146,220
8,0,219,-6120,220
8,0,220,-5946,220
8,0,220,-6027,220
8,0,220,-5645,220
8,0,220,-6398,220
8,0,218,-6073,220
8,0,218,-6413,220
8,0,219,-6281,220
8,0,220,-6250,220
8,0,219,-6223,220
8,0,219,-6601,220
8,0,219,-6436,220
8,0,220,-6093,220
8,0,220,-6257,220
8,0,221,-5948,220
8,0,218,-6030,220
8,0,220,-6091,220
8,0,221,-6136,220
8,0,220,-5852,220
8,0,220,-6370,220
8,0,222,-6419,220
8,0,219,-5985,220
8,0,220,-5786,220
8,0,219,-6230,220
8,0,220,-6405,220
8,0,220,-6346,220
8,0,219,-6744,220
8,0,221,-6236,220
9,0,209,-5229,210
9,0,210,-4525,210
9,0,211,-4541,210
9,0,210,-4450,210
9,0,211,-4587,210
9,0,210,-4955,210
9,0,211,-4499,210
9,0,210,-4587,210
9,0,212,-4769,210
9,0,211,-4436,210
9,0,212,-4636,210
9,0,211,-4685,210
9,0,210,-4526,210
9,0,209,-4907,210
9,0,212,-4947,210
9,0,212,-4772,210
9,0,211,-5201,210
9,0,211,-4694,210
9,0,211,-5150,210
9,0,211,-4627,210
9,0,211,-4461,210
9,0,211,-4753,210
9,0,212,-5205,210
9,0,213,-5396,210
9,0,211,-4671,210
9,0,209,-4805,210
9,0,211,-4504,210
9,0,211,-4595,210
9,0,212,-4568,210
9,0,210,-4743,210
9,0,210,-4115,210
9,0,210,-4472,210
9,0,210,-4244,210
9,0,211,-4398,210
9,0,211,-5094,210
9,0,210,-4895,210
9,0,212,-4843,210
9,0,210,-4999,210
9,0,213,-5471,210
9,0,211,-4919,210
9,0,212,-4944,210
9,0,211,-4380,210
9,0,211,-4836,210
9,0,212,-4563,210
9,0,210,-5122,210
9,0,209,-4647,210
9,0,210,-4752,210
9,0,211,-4958,210
9,0,211,-4946,210
9,0,210,-5587,210
10,0,200,-4082,200
10,0,200,-4259,200
10,0,200,-4064,200
10,0,200,-3880,200
10,0,199,-4072,200
10,0,199,-4198,200
10,0,200,-4396,200
10,0,200,-4001,200
10,0,200,-4162,200
10,0,200,-4241,200
10,0,200,-4150,200
10,0,199,-4224,200
10,0,200,-3946,200
10,0,199,-4052,200
10,0,200,-4073,200
10,0,199,-4116,200
10,0,200,-4182,200
10,0,200,-3877,200
10,0,200,-4089,200
10,0,200,-4171,200
10,0,200,-4254,200
10,0,200,-4375,200
10,0,199,-4133,200
10,0,200,-4212,200
10,0,200,-4093,200
10,0,201,-4414,200
10,0,200,-4245,200
10,0,201,-4248,200
10,0,199,-4265,200
10,0,199,-4154,200
10,0,199,-4221,200
10,0,199,-4281,200
10,0,200,-4019,200
10,0,200,-4137,200
10,0,200,-4156,200
10,0,200,-4090,200
10,0,200,-4200,200
10,0,199,-4190,200
10,0,199,-4111,200
10,0,199,-4178,200
10,0,199,-3885,200
10,0,199,-3963,200
10,0,200,-4160,200
10,0,199,-4008,200
10,0,199,-4262,200
10,0,200,-3849,200
10,0,199,-3853,200
10,0,199,-4326,200
10,0,200,-3879,200
10,0,200,-3814,200
11,0,190,-4543,190
11,0,191,-4284,190
11,0,191,-4514,190
11,0,192,-4794,190
11,0,190,-4383,190
11,0,191,-4494,190
11,0,190,-4669,190
11,0,192,-4602,190
11,0,190,-4224,190
11,0,192,-4721,190
11,0,191,-4272,190
11,0,191,-4157,190
11,0,191,-4333,190
11,0,191,-4718,190
11,0,190,-4132,190
11,0,190,-4516,190
11,0,190,-4242,190
11,0,190,-4567,190
11,0,192,-4786,190
11,0,191,-4363,190
11,0,191,-4374,190
11,0,191,-4731,190
11,0,191,-4191,190
11,0,190,-4726,190
11,0,191,-4404,190
11,0,191,-4214,190
11,0,190,-4594,190
11,0,190,-4190,190
11,0,191,-4486,190
11,0,191,-4344,190
11,0,189,-4591,190
11,0,191,-4420,190
11,0,190,-4185,190
11,0,190,-4418,190
11,0,191,-4361,190
11,0,191,-4198,190
11,0,192,-4372,190
11,0,191,-4374,190
11,0,190,-4331,190
11,0,192,-4268,190
11,0,190,-4519,190
11,0,190,-4331,190
11,0,191,-3841,190
11,0,191,-4598,190
11,0,191,-4482,190
11,0,190,-4374,190
11,0,192,-4352,190
11,0,191,-4577,190
11,0,191,-4479,190
11,0,190,-4463,190
12,0,176,-11429,180
12,0,174,-11437,180
12,0,175,-11297,180
12,0,171,-12479,180
12,0,174,-11783,180
12,0,172,-11117,180
12,0,175,-11133,180
12,0,172,-11829,180
12,0,175,-11882,180
12,0,176,-11091,180
12,0,176,-10312,180
12,0,177,-11874,180
12,0,176,-11957,180
12,0,176,-10236,180
12,0,176,-11105,180
12,0,176,-11969,180
12,0,175,-11214,180
12,0,173,-11737,180
12,0,175,-11517,180
12,0,172,-11874,180
12,0,174,-11571,180
12,0,174,-11950,180
12,0,174,-10732,180
12,0,174,-11573,180
12,0,174,-11395,180
12,0,176,-11342,180
12,0,173,-11101,180
12,0,176,-11291,180
12,0,174,-11542,180
12,0,178,-11832,180
12,0,174,-11307,180
12,0,176,-11240,180
12,0,174,-11424,180
12,0,173,-11235,180
12,0,175,-11515,180
12,0,172,-11752,180
12,0,175,-11795,180
12,0,173,-11459,180
12,0,176,-11081,180
12,0,175,-11389,180
12,0,173,-11912,180
12,0,172,-11916,180
12,0,174,-11256,180
12,0,175,-11138,180
12,0,175,-11906,180
12,0,173,-11935,180
12,0,173,-12079,180
12,0,174,-11190,180
12,0,172,-12159,180
12,0,176,-11129,180
13,0,172,-6902,170
13,0,172,-6793,170
13,0,172,-7155,170
13,0,172,-6795,170
13,0,173,-6574,170
13,0,172,-6774,170
13,0,174,-7505,170
