trialNum,resgister,reading,strength,expected
0,1,210,-8792,50
0,0,51,6269,50
0,1,210,-8804,50
0,0,51,6308,50
0,1,210,-8653,50
0,0,51,6261,50
0,1,208,-9233,50
0,0,51,6330,50
0,1,207,-8901,50
0,0,51,6311,50
0,1,210,-8681,50
0,0,51,6290,50
0,1,207,-8456,50
0,0,51,6281,50
0,1,209,-9025,50
0,0,51,6303,50
0,1,210,-8948,50
0,0,51,6333,50
0,1,211,-8688,50
0,0,51,6242,50
0,1,211,-8600,50
0,0,51,6314,50
0,1,210,-9051,50
0,0,51,6328,50
0,1,210,-9130,50
0,0,51,6331,50
0,1,208,-8547,50
0,0,51,6288,50
0,1,209,-8782,50
0,0,51,6310,50
0,1,209,-8844,50
0,0,51,6290,50
0,1,211,-9123,50
0,0,51,6408,50
0,1,209,-8509,50
0,0,51,6279,50
0,1,208,-8798,50
0,0,51,6231,50
0,1,211,-8497,50
0,0,51,6283,50
0,1,209,-8907,50
0,0,51,6247,50
0,1,208,-9010,50
0,0,51,6368,50
0,1,210,-8761,50
0,0,51,6349,50
0,1,211,-8431,50
0,0,51,6334,50
0,1,209,-8992,50
1,0,50,1528,48
1,1,106,-3419,48
1,2,176,-7542,48
1,3,234,-4765,48
1,0,50,1593,48
1,1,104,-3488,48
1,2,175,-7225,48
1,3,233,-4913,48
1,0,49,1916,48
1,1,105,-3332,48
1,2,175,-7206,48
1,3,233,-4873,48
1,0,50,1636,48
1,1,106,-3462,48
1,2,175,-7476,48
1,3,231,-4770,48
1,0,50,1410,48
1,1,105,-3548,48
1,2,178,-6517,48
1,3,233,-5050,48
1,0,49,1514,48
1,1,106,-3418,48
1,2,176,-7378,48
1,3,233,-5172,48
1,0,49,2077,48
1,1,105,-3257,48
1,2,178,-6771,48
1,3,231,-5332,48
1,0,50,2104,48
1,1,105,-3392,48
1,2,175,-7099,48
1,3,231,-5421,48
1,0,50,1786,48
1,1,106,-3265,48
1,2,177,-6644,48
1,3,233,-4875,48
1,0,50,1557,48
1,1,105,-3499,48
1,2,175,-7373,48
1,3,231,-5404,48
1,0,50,1494,48
1,1,106,-3493,48
1,2,175,-7677,48
1,3,233,-4430,48
1,0,49,1587,48
1,1,107,-3321,48
1,2,176,-7453,48
1,3,232,-5176,48
1,0,49,1684,48
1,1,106,-3365,48
2,0,49,6249,46
2,1,170,-4859,46
2,2,225,-8097,46
2,0,49,6286,46
2,1,170,-4817,46
2,2,225,-8574,46
2,0,49,6301,46
2,1,169,-4714,46
2,2,224,-8965,46
2,0,49,6265,46
2,1,170,-4442,46
2,2,224,-8242,46
2,0,49,6317,46
2,1,170,-4838,46
2,2,223,-8636,46
2,0,49,6185,46
2,1,169,-4852,46
2,2,223,-8876,46
2,0,49,6283,46
2,1,170,-4847,46
2,2,223,-8987,46
2,0,49,6340,46
2,1,170,-4671,46
2,2,225,-8768,46
2,0,49,6244,46
2,1,170,-4605,46
2,2,224,-8642,46
2,0,49,6254,46
2,1,170,-4795,46
2,2,225,-8956,46
2,0,49,6285,46
2,1,169,-4786,46
2,2,225,-8667,46
2,0,49,6244,46
2,1,169,-4626,46
2,2,224,-7852,46
2,0,49,6287,46
2,1,169,-4765,46
2,2,226,-7872,46
2,0,49,6275,46
