trialNum,resgister,reading,strength,expected
0,0,40,-4108,50
0,1,191,-10465,50
0,0,40,-3959,50
0,1,82,-5161,50
0,2,191,-10487,50
0,0,40,-4021,50
0,1,82,-5298,50
0,2,191,-10600,50
0,0,40,-4018,50
0,1,192,-9972,50
0,0,40,-4086,50
0,1,82,-4915,50
0,2,191,-10210,50
0,0,40,-4088,50
0,1,82,-5000,50
0,2,191,-10434,50
0,0,40,-4120,50
0,1,82,-4900,50
0,2,190,-10342,50
0,0,40,-4006,50
0,1,191,-10199,50
0,0,40,-4083,50
0,1,82,-5179,50
0,2,192,-10052,50
0,0,40,-3977,50
0,1,82,-5095,50
0,2,191,-9993,50
0,0,40,-3998,50
0,1,82,-5225,50
0,2,191,-9746,50
0,0,40,-4109,50
0,1,82,-4930,50
0,2,191,-10214,50
0,0,40,-4121,50
0,1,82,-4928,50
0,2,192,-10785,50
0,0,40,-4126,50
0,1,82,-5065,50
0,2,191,-10395,50
0,0,40,-4097,50
0,1,82,-4933,50
0,2,191,-10048,50
0,0,40,-4063,50
0,1,82,-5069,50
0,2,191,-10209,50
0,0,40,-4065,50
0,1,190,-10447,50
0,0,40,-4092,50
0,1,82,-5202,50
0,2,191,-9865,50
1,0,54,1288,48
1,1,118,-8942,48
1,2,195,-7500,48
1,0,54,1291,48
1,1,118,-8902,48
1,2,194,-7724,48
1,0,54,1272,48
1,1,118,-8692,48
1,2,195,-7597,48
1,0,54,1293,48
1,1,118,-8856,48
1,2,195,-7452,48
1,0,53,1098,48
1,1,118,-8891,48
1,2,195,-7299,48
1,0,54,1507,48
1,1,118,-8837,48
1,2,195,-7197,48
1,0,54,1219,48
1,1,118,-8860,48
1,2,193,-7172,48
1,0,53,996,48
1,1,118,-8929,48
1,2,195,-7098,48
1,0,54,1052,48
1,1,118,-8973,48
1,2,194,-7693,48
1,0,54,1113,48
1,1,118,-8813,48
1,2,196,-7490,48
1,0,53,900,48
1,1,118,-8917,48
1,2,195,-7662,48
1,0,54,1265,48
1,1,118,-8838,48
1,2,195,-7460,48
1,0,54,1351,48
1,1,118,-8926,48
1,2,195,-7814,48
1,0,54,1091,48
1,1,118,-8924,48
1,2,194,-7572,48
1,0,54,958,48
1,1,118,-8773,48
1,2,195,-7546,48
1,0,54,1189,48
1,1,118,-8784,48
1,2,195,-7681,48
1,0,54,1038,48
1,1,118,-8886,48
2,0,55,5282,46
2,1,195,-8115,46
2,0,55,5365,46
2,1,195,-9068,46
2,0,55,5224,46
2,1,194,-10816,46
2,0,55,5302,46
2,1,195,-8601,46
2,0,55,5382,46
2,1,194,-10511,46
2,0,55,5357,46
2,1,193,-9118,46
2,0,55,5307,46
2,1,195,-8231,46
2,0,55,5391,46
2,1,196,-8894,46
2,2,262,-7663,46
2,0,55,5275,46
2,1,195,-8444,46
2,0,55,5381,46
2,1,194,-10657,46
2,2,260,-8317,46
2,0,55,5352,46
2,1,196,-8850,46
2,0,55,5345,46
2,1,194,-8413,46
2,0,55,5409,46
2,1,195,-9128,46
2,0,55,5329,46
2,1,195,-10848,46
2,0,55,5296,46
2,1,195,-8474,46
2,0,55,5336,46
2,1,194,-8019,46
2,0,55,5421,46
2,1,193,-10436,46
2,0,55,5353,46
2,1,193,-11234,46
2,0,55,5303,46
2,1,194,-8457,46
2,0,55,5319,46
2,1,195,-8246,46
2,0,56,5358,46
2,1,194,-8315,46
2,2,262,-8265,46
2,0,55,5281,46
2,1,196,-7754,46
2,0,55,5420,46
2,1,193,-11116,46
2,2,261,-8280,46
3,0,55,5833,44
3,1,157,-9730,44
3,2,198,-11482,44
3,3,260,-5396,44
3,0,55,5778,44
3,1,157,-10124,44
3,2,200,-11188,44
3,3,260,-4851,44
3,0,55,5818,44
3,1,157,-9781,44
3,2,200,-11061,44
3,3,259,-5036,44
3,0,55,5839,44
3,1,157,-10132,44
3,2,199,-11278,44
3,3,259,-5952,44
3,0,55,5839,44
3,1,157,-9780,44
3,2,198,-11305,44
3,3,259,-4844,44
3,0,55,5811,44
3,1,157,-9890,44
3,2,197,-11554,44
3,3,260,-5227,44
3,0,55,5759,44
3,1,158,-9934,44
3,2,199,-11381,44
3,3,272,-5918,44
3,0,55,5846,44
3,1,157,-9834,44
3,2,199,-11190,44
3,3,259,-5231,44
3,0,55,5869,44
3,1,158,-9663,44
3,2,199,-11296,44
3,3,257,-5260,44
3,0,55,5761,44
3,1,158,-9924,44
3,2,199,-11373,44
3,3,270,-5805,44
3,0,55,5820,44
3,1,158,-9955,44
3,2,199,-11321,44
